"","Bin","Mass (g)","Distance (ft)","Area","Mass_kg","Rate","Distance_m"
"1",1,0,-48,1.64173223227589e-05,0,0,-13.1296860713197
"2",2,0,-45,1.64173223227589e-05,0,0,-12.2153306918622
"3",3,0,-42,1.64173223227589e-05,0,0,-11.3009753124048
"4",4,0,-39,1.64173223227589e-05,0,0,-10.3866199329473
"5",5,0.181,-36,1.64173223227589e-05,0.000181,11.0249403917157,-9.47226455348979
"6",6,0.015,-33,1.64173223227589e-05,1.5e-05,0.913669093236104,-8.55790917403231
"7",7,0.102,-30,1.64173223227589e-05,0.000102,6.21294983400551,-7.64355379457482
"8",8,0.171,-27,1.64173223227589e-05,0.000171,10.4158276628916,-6.72919841511734
"9",9,0.055,-24,1.64173223227589e-05,5.5e-05,3.35012000853238,-5.81484303565986
"10",10,0.098,-21,1.64173223227589e-05,9.8e-05,5.96930474247588,-4.90048765620238
"11",11,0.13,-18,1.64173223227589e-05,0.00013,7.9184654747129,-3.9861322767449
"12",12,0.174,-15,1.64173223227589e-05,0.000174,10.5985614815388,-3.07177689728741
"13",13,0.019,-12,1.64173223227589e-05,1.9e-05,1.15731418476573,-2.15742151782993
"14",14,0.107,-9,1.64173223227589e-05,0.000107,6.51750619841754,-1.24306613837245
"15",15,0.061,-6,1.64173223227589e-05,6.1e-05,3.71558764582682,-0.328710758914965
"16",16,0.065,-3,1.64173223227589e-05,6.5e-05,3.95923273735645,0.585644620542518
"17",17,0.106,0,1.64173223227589e-05,0.000106,6.45659492553514,1.5
"18",18,0.009,3,1.64173223227589e-05,9e-06,0.548201455941662,2.41435537945748
"19",19,0.035,6,1.64173223227589e-05,3.5e-05,2.13189455088424,3.32871075891496
"20",20,0.223,9,1.64173223227589e-05,0.000223,13.5832138527767,4.24306613837245
"21",21,0.139,12,1.64173223227589e-05,0.000139,8.46666693065457,5.15742151782993
"22",22,0.112,15,1.64173223227589e-05,0.000112,6.82206256282958,6.07177689728741
"23",23,0.075,18,1.64173223227589e-05,7.5e-05,4.56834546618052,6.9861322767449
"24",24,0.044,21,1.64173223227589e-05,4.4e-05,2.68009600682591,7.90048765620238
"25",25,0.129,24,1.64173223227589e-05,0.000129,7.8575542018305,8.81484303565986
"26",26,0.136,27,1.64173223227589e-05,0.000136,8.28393311200734,9.72919841511734
"27",27,0.077,30,1.64173223227589e-05,7.7e-05,4.69016801194534,10.6435537945748
"28",28,0,33,1.64173223227589e-05,0,0,11.5579091740323
"29",29,0.076,36,1.64173223227589e-05,7.6e-05,4.62925673906293,12.4722645534898
"30",30,0,39,1.64173223227589e-05,0,0,13.3866199329473
"31",31,0,42,1.64173223227589e-05,0,0,14.3009753124048
"32",32,0,45,1.64173223227589e-05,0,0,15.2153306918622
"33",33,0,48,1.64173223227589e-05,0,0,16.1296860713197
